id_match,A0004,A0509,A1014,A1519,A2024,A2529,A3034,A3539,A4044,A4549,A5054,A5559,A6064,A65PL,pop,pseektrtdisp10x10,pseektrthc10x10,pseektrthosp10x10,ssatrtmindisp10x10,ssatrtminhc10x10,ssatrtminhosp10x10,iso,country,admin_name,admin_type
73,1328830.42791843,1177552.48663998,1110496.56060696,679690.050695896,546173.639473915,446908.34513855,289366.431339741,279705.153073549,255507.469450474,167336.556321621,179789.764965534,137125.155359983,129423.895849705,193121.986759424,4414645.00903535,0.459536459223897,0.459527432339863,0.446499160092178,144.86865066547,116.57589058795,71.4354524109405,COD,Democratic Republic of the Congo,Nord-Kivu,Province
529,133546.486846924,122359.335998535,113269.788330078,74114.8026733399,46846.1505966187,50335.1342773438,34260.6163635254,34260.6163635254,23772.6735420227,17479.9063796997,15382.3172073364,9089.55130004883,6991.96226406098,18179.1026000977,443982.621897698,0.702120948405493,0.721004284563519,0.715049913951329,26.861838113694,20.7669707706996,23.3535403069996,UGA,Uganda,Kabarole,District
639,28146.2020874024,25786.7155761719,23867.7876586914,15605.7040710449,9875.37768554688,10606.1010894775,7227.37825775147,7224.2653427124,5005.92636871338,3685.81795883179,3245.26293182373,1922.04182815552,1478.37392234802,3834.74488067627,93578.7819957734,0.693560655300434,0.709042289427349,0.66732149038996,28.6973612125103,27.0631391661508,70.4911366976225,UGA,Uganda,Kibaale,District
554,87902.7156982422,76694.7992401124,65325.0925064087,42979.1071166992,29390.538230896,25034.2217216492,18624.3534851074,15510.066444397,14593.6146316528,13293.3379802704,8617.8969373703,8148.54040527344,6409.96391963958,16169.1830253601,264095.916404724,0.701676309108734,0.734081673622131,0.673961281776428,20.3146734237671,10.6440116882324,54.6926835378011,UGA,Uganda,Manafwa,District
382,206946.35144043,175770.523925781,128879.374267578,121606.091064453,138305.711730957,118378.427917481,92114.7029724122,63774.7639160156,45963.3023223877,37022.9671173096,26805.597618103,21109.9168319702,13683.9487876892,26886.7046508789,834531.509197235,0.689707152153316,0.669244674535898,0.673845312534234,5.94825043803767,9.33919193805792,9.31748378276825,KEN,Kenya,Uasin Gishu,County
195,106601.753912926,114744.563736439,92357.0491659642,76697.3062796593,60628.169216156,49167.4184681177,41111.100799799,27908.5775251389,27969.702578485,15132.1369634867,15388.6858695149,7254.63907104731,8390.59743896127,11277.2679238618,433282.651300192,0.607579867900468,0.593165359385093,0.577102205757992,24.4203135579999,54.710385561456,40.8549350572426,KEN,Kenya,Garissa,County
520,45089.0143013001,41255.8569955826,38217.7804107666,24936.3401346207,15923.913877964,16917.9572448731,11495.2597532272,11483.1199502945,8051.75383877755,5893.85416674613,5233.59569275379,3137.23039543629,2445.93275994062,6154.96290326119,149891.701128662,0.68205621025779,0.691090740940788,0.660416895692999,36.571043881503,41.5165933262218,59.9291656494141,UGA,Uganda,Bundibugyo,District
589,95931.3717651368,87895.2274475098,81365.8702697754,53239.3990783692,33651.3192443848,36157.5849914551,24610.6652374268,24610.6652374268,17076.7888565064,12556.4619445801,11049.686214447,6529.36023330689,5022.58455085755,13058.7204666138,318929.10632515,0.698604386586409,0.719302110947095,0.709181084082677,22.6219975764935,19.570699104896,21.2006499855607,UGA,Uganda,Kyenjojo,District
590,150844.934692383,137409.360595703,125493.686218262,76303.2696228028,54003.4268798828,55649.1846389771,42099.8683395386,40424.908744812,24722.4905319214,20711.5229721069,19055.7346725464,13471.7341461182,10285.3831005096,22249.852481842,504471.06234932,0.701218280527327,0.710543437437578,0.683898818492889,25.3437693383959,27.8297243638472,47.6747695402666,UGA,Uganda,Mubende,District
526,137556.874023437,127342.259521484,113722.749511719,70140.384765625,39496.5264892578,40858.4743041993,31324.8322143555,30643.858215332,23153.1380004883,17024.3651733399,15662.4161071778,7490.72045898437,8171.6950378418,19067.2893371582,416756.449615479,0.695291849283072,0.707885843056899,0.706095576286316,24.4042274768536,26.4090590110192,28.4249056975047,UGA,Uganda,Iganga,District
631,141998.893310547,123952.70300293,105802.113647461,69463.3291015625,47357.5722045899,40399.0923461914,30039.481628418,25071.6553955078,23580.5207519531,21437.219909668,13949.7578582764,13129.5222015381,10376.9814910889,26172.7832946778,426780.029830933,0.721468057483435,0.73343276232481,0.704852838069201,11.4234866201878,11.3328111469746,23.5827865600586,UGA,Uganda,Tororo,District
241,462057.587036133,383588.311279297,278968.902954102,252501.068725586,216475.501953125,176184.715698242,149728.889068604,104995.26473999,88712.4591064454,76626.602432251,65363.5303649903,53907.9860076905,35621.7768173218,70043.0288391114,1569129.72670746,0.726867475930382,0.701035559177399,0.673342029253642,3.32814274465337,5.00332248210907,9.47831986230962,KEN,Kenya,Kakamega,County
284,91533.9544334412,83033.0691022874,63989.295501709,53661.0233755112,50541.0121555328,50849.8616418839,43237.3438606262,31989.1975872517,26248.0244100094,21860.7676861286,15531.5753574371,12842.943833828,10079.5327714682,17969.4301538467,398800.008335233,0.618747565660391,0.609800270548812,0.60009681426727,21.1416924837473,35.8257045359225,32.1614623836109,KEN,Kenya,Laikipia,County
604,173599.336273193,158178.304016113,144424.303588867,87741.2120513916,62188.2906036377,64089.3780822754,48542.3054580689,46497.1700668335,28512.5921440125,23921.9200057984,21966.8129005432,15547.0726509094,11852.9263114929,25660.9599647522,580944.943828583,0.723855018615723,0.742634701232115,0.716687358915806,10.915561358134,10.3960562547048,13.531210495078,UGA,Uganda,Mukono,District
192,195888.382080078,163712.826660156,125644.486450195,108052.001831055,87774.1552734375,70993.027709961,58492.6475219727,40985.4630126953,34505.392364502,29473.5683288575,24945.0562133789,19846.4612426758,14631.3203735352,29908.7697448731,645252.350067139,0.729044842092614,0.706567668914795,0.707530352473259,4.04038380635412,5.29384970664978,6.88673396706581,KEN,Kenya,Busia,County
