admin2_code,A0004,A0509,A1014,A1519,A2024,A2529,A3034,A3539,A4044,A4549,A5054,A5559,A6064,A65PL
10002403,628.840343475342,546.371189117432,631.532855987549,745.40478515625,783.345527648926,660.642288208008,494.944652557373,394.629508972168,335.966358184814,273.671457290649,232.154336929321,186.704246520996,115.578237533569,297.530366897583
10002408,815.055755615234,708.141708374024,818.007415771485,965.670181274415,1015.51965332031,856.624328613281,641.566390991211,511.449325561523,435.117309570312,354.111846923828,300.654823303223,241.868480682373,149.548503875732,385.185813903808
10002397,728.264461517334,632.742050170899,730.951690673828,862.787574768066,907.08984375,765.121868133545,573.132429122925,456.930885314942,388.798898696899,316.523029327393,268.664831161499,216.107091903687,133.625675201417,344.25452041626
10002418,18667.41147995,16218.7342224121,18735.0143680573,22116.969537735,23258.6831874847,19619.4665946961,14693.9448871613,11713.8436126709,9965.59325790406,8110.30592918397,6885.9674358368,5539.57004737854,3425.14414119721,8822.00062561036
10002648,588.422103881837,509.477970123291,585.514186859131,642.939910888673,704.092170715332,663.022743225098,504.010875701904,434.306739807129,376.542686462402,326.015447616577,258.342845916748,210.789367675781,136.812910079956,359.770011901856
10002667,3527.3318901062,3259.24637031555,3882.76152038574,4276.61316680908,4226.12623977662,3648.3417930603,2736.00073814392,2269.81177139282,2079.08015441894,1784.13803768158,1478.00947952271,1052.09498500824,644.076610088348,1829.57272529602
10002674,451.128280639648,418.429656982422,499.473495483399,550.254669189453,540.557556152344,464.05778503418,347.692031860352,287.682098388672,264.493270874023,226.828979492188,188.461982727051,132.902488708496,80.9969673156738,231.419906616211
10002664,478.957752227783,444.241992950439,530.285297393798,584.199089050293,573.903800964355,492.684875488281,369.140659332276,305.428798675537,280.809492111207,240.821741104126,200.087940216065,141.101056098938,85.9935598373413,245.69587135315
10025761,5421.24246215821,5672.28884887695,6206.85244750977,6041.10400390626,5413.0036315918,2424.68065643311,3659.07183837891,3123.53907775879,3069.74346923828,1247.96171188355,979.952880859376,1225.66798400879,1256.68531799317,2685.90432739258
10025765,56555.0247192383,60156.2720794678,66162.1130142212,64528.2905349732,55466.9773025513,39780.9007682801,35930.9797935486,30043.1875839233,29571.2542304993,21309.422618866,17172.3403244019,12073.3531513214,13329.091217041,30375.3200035095
10002360,1279.79241943359,1055.12506103516,1138.39324951172,1188.79956054688,1310.0361328125,1272.72241210938,1119.93286132813,992.804656982422,899.193328857422,721.135223388672,597.149200439453,472.377563476563,316.184005737305,727.943237304688
10002349,11109.705078125,9159.3984375,9882.23828125,10319.80859375,11372.2470703125,11048.33203125,9721.98583984375,8618.4033203125,7805.77612304688,6260.07763671875,5183.771484375,4100.64575195313,2744.75073242188,6319.17724609375
10002304,8925.12353515625,7652.55908203125,8600.65576171875,9709.630859375,10546.55859375,9457.46728515625,7297.36157226563,6022.98950195313,5146.2939453125,4467.53271484375,3594.45227050781,2730.40991210938,1869.98278808594,4353.65258789063
10002305,6214.20556640625,5328.169921875,5988.29125976563,6760.42626953125,7343.14575195313,6584.85498046875,5080.85986328125,4193.56616210938,3583.158203125,3110.56384277344,2502.67297363281,1901.07482910156,1301.99401855469,3031.27355957031
10002333,4081.76953125,3499.78137207031,3933.37890625,4440.5517578125,4823.30810546875,4325.22875976562,3337.33715820313,2754.5224609375,2353.57922363281,2043.15814208984,1643.86798095703,1248.71136474609,855.208160400391,1991.07672119141
10002329,588.562957763672,504.58869934082,567.626220703125,641.1826171875,696.416687011719,623.993621826172,481.24641418457,396.812805175781,339.229858398438,294.402954101563,236.904853820801,180.057792663574,122.944480895996,287.453353881836
10002323,775.760223388672,663.603820800781,760.359619140625,868.588897705078,942.536712646484,831.086212158203,634.985656738281,513.209014892578,443.414566040039,382.57258605957,308.82096862793,237.385833740234,152.226135253906,388.257568359375
10002425,573.629272460938,489.656021118164,570.850769042969,658.841583251953,714.330841064453,620.629455566406,470.011154174805,372.560195922852,325.259918212891,279.030075073242,225.931175231934,175.574729919434,105.628467559814,293.713775634766
10002445,3068.94396972656,2618.60955810547,3062.96441650391,3541.93621826172,3839.64141845704,3326.68231201172,2515.07379150391,1986.06481933594,1737.45281982422,1488.84048461914,1206.24099731445,939.376266479492,557.961143493652,1578.21505737305
10002427,1394.20877838135,1189.62374114991,1391.49234008789,1609.0873336792,1744.33355712891,1511.29833984375,1142.58784484863,902.261207580567,789.317779541016,676.374202728272,547.990406036377,426.754852294922,253.479488372802,716.976707458496
10002449,1901.13684082031,1622.16551971436,1897.4326248169,2194.1441192627,2378.56532287597,2060.79948806763,1558.02761459351,1230.31928634644,1076.31015968323,922.300800323486,747.237215042115,581.920969963074,345.643475532532,977.666193008423
10002423,4009.28789138795,3420.96811676025,4001.47607421875,4627.20796966553,5016.13188934326,4345.99886322021,3285.70838928223,2594.60767555237,2269.81935882569,1945.03063201905,1575.84086227417,1227.20716381073,728.923976898193,2061.79013633728
10002424,112.501224517822,95.9928855895996,112.282028198242,129.840156555176,140.753425598145,121.94938659668,92.1974754333496,72.8050842285156,63.6914749145508,54.5778560638428,44.2183341979981,34.4356174468994,20.4537172317505,57.8541431427002
10002769,2661.4309501648,2399.86720085144,2873.82845306397,3429.54578399659,3406.22709274293,2897.42814636231,2182.69346809387,1824.76445770264,1555.3342552185,1094.57764625549,992.031322479248,788.062278747558,524.812932491302,1462.34011077881
10002763,2245.32495117188,2024.65600585938,2424.51489257813,2893.34777832031,2873.67468261719,2444.42468261719,1841.43664550781,1539.46862792969,1312.16296386719,923.444061279297,836.930511474609,664.851348876953,442.760177612305,1233.70812988281
10002778,144.382942199707,130.193077087402,155.905532836914,186.053268432617,184.788215637207,157.185806274414,118.411376953125,98.9936866760254,84.377067565918,59.3809661865234,53.8178157806397,42.7524700164795,28.4711627960205,79.3321228027344
10002761,103.707489013672,93.4015464782715,111.776378631592,133.363525390625,132.507118225098,112.725715637207,84.9466857910156,71.0208549499512,60.5297527313233,42.651969909668,38.6371593475342,30.6799640655518,20.444769859314,56.8518104553223
10002776,609.650344848633,549.435035705566,657.757312774659,784.87727355957,779.673271179199,663.241577148438,499.70764541626,417.774002075196,356.076374053955,250.732780456543,227.192840576172,180.445777893066,120.203642845154,334.631448745728
10002764,2867.36357116699,2575.42159461975,3085.76452255249,3678.54856872559,3658.09169006349,3121.80947494507,2355.19553184509,1968.98703384399,1672.49866485595,1185.56357192993,1069.13914871216,847.735007286071,566.050756931305,1572.37448692322
10002205,1705.14885330201,1394.29889678955,1693.8356513977,1966.04697036743,2017.0428390503,1859.00741577149,1449.47213363647,1211.8966255188,951.520746231079,790.17820930481,640.496850967407,486.464309692383,345.137290000915,892.866550445557
