shape_id,A0004,A0509,A1014,A1519,A2024,A2529,A3034,A3539,A4044,A4549,A5054,A5559,A6064,A65PL,pop,pseektrtdisp10x10,pseektrthc10x10,pseektrthosp10x10,ssatrtmindisp10x10,ssatrtminhc10x10,ssatrtminhosp10x10,iso,country,admin_name,admin_type
1843,31175.9291992188,32237.8754882813,32037.986328125,31584.3916015625,26905.57421875,22580.8491210938,17386.173828125,14674.1107177735,13420.7030029297,11028.7006835938,9682.68957519532,5433.46447753906,5733.51708984375,11558.5673828125,202026.728027344,0.984290242195129,0.966202855110168,0.949864447116852,0.187937587499619,0.311178594827652,0.427796632051468,NGA,Nigeria,Ihitte/Uboma,Local Government Area
1844,63421.5947265626,65543.7758789063,67322.419921875,66635.3403320313,56467.7177734376,48106.4379882813,37235.1157226563,30658.01953125,27876.4692382813,22656.90234375,20069.2845458984,11464.2044677735,11708.0054931641,24900.9829101563,425100.900268555,0.975132882595062,0.967223316431046,0.964407384395599,0.286589980125427,0.304413303732872,0.486176207661629,NGA,Nigeria,Umuahia  North,Local Government Area
1845,21108.2810058594,21866.3488769531,22162.1149902344,21890.9559326172,18583.7806396484,15862.9775390626,12267.5373535156,10133.835144043,9187.951171875,7444.64819335937,6581.67932128907,3710.16610717773,3857.60186767579,7948.25640869141,139631.50466919,0.761335909366608,0.724892795085907,0.434371715784073,5.25993567705154,4.29095401763916,15.8008592605591,NGA,Nigeria,Arochukwu,Local Government Area
3921,67449.9221191406,63415.95703125,56256.3458251953,43195.4694213867,29031.3860473633,21587.1749267578,18623.7077331543,16658.9668884277,13619.8627929688,11712.8131713867,12066.0118103027,10043.5780181885,8558.0355682373,19300.9707946777,260654.322998047,0.554641819662518,0.611666195922428,0.517754349443648,6.46596866183811,4.59018037054274,21.5773524178399,CMR,Cameroon,Dschang,Health District
3903,18233.5148925782,17080.8210449219,15194.5949707031,11526.9343261719,7649.69250488281,5449.09631347656,4820.3544921875,4296.40319824219,3562.87066650391,3038.9189453125,3248.49957275391,2724.54815673829,2305.38693237305,5239.51574707032,69056.8158264161,0.518237233161926,0.612619876861572,0.584831953048706,8.53615093231201,3.67550778388977,7.7922215461731,CMR,Cameroon,Batcham,Health District
5120,9333.89233779907,7778.6880607605,6786.8994884491,6806.06712913513,4845.80781555176,3288.55041694641,3134.36094379425,2788.6228761673,2448.03524208069,2377.45138263702,1113.3779668808,976.092490434647,479.575333595276,646.092921972275,35690.9340076447,0.499887503501846,0.499687584829919,0.498469444336715,80.6967503850053,87.9587645471832,49.5466171900431,CAF,Central African Republic,Damara,Sub-Prefecture
5213,19459.5206131935,12910.1634545326,8542.40263724327,7382.86767339707,7259.31504392624,7107.4771771431,6433.44764196873,4907.76398074627,3588.50872707367,3403.33174407482,2404.68073546886,2750.18936502934,1444.78740492463,2676.69099158048,57901.4631225765,0.501887303590775,0.501365825709175,0.500100848254036,31.4818907176747,28.6048642579247,46.886806936825,CAF,Central African Republic,Bangassou,Sub-Prefecture
586,5759.49561691284,5823.20506286621,4917.24236679077,3938.21209907532,3133.23882293701,2575.1536989212,1986.37926959992,1846.14210700989,1444.94652748108,1102.78074359894,790.688989162445,651.920449018478,563.726161956787,890.870196819306,23841.3014323711,0.692561633246286,0.64047609314774,0.648799545837171,16.5425545862743,27.5647546052933,57.3411823047532,LBR,Liberia,Webbo,District
333,11621.0396118164,10938.2965087891,10154.3151550293,8980.05285644531,7891.54977416993,6490.45048522949,5323.12428283691,4957.96813964843,4579.57951354981,3777.24655151367,2923.88066864014,2088.80855560303,1507.8031463623,3257.93302917481,61932.7121582031,0.752240650355816,0.765503481030464,0.638362087309361,4.79834035038948,4.90475150942802,24.1503860685561,GHA,Ghana,Twifo Lower Denkyira,District
1082,30809.1016235352,28985.4888916016,27017.141784668,23780.8132324219,20824.492553711,16956.7880249024,13897.9946899414,12999.6625061035,12187.7842102051,10112.5905303955,7887.5853729248,5670.00119018554,4136.12549591065,9006.69311523438,164477.672706604,0.805083185434341,0.802600358213697,0.761917310101645,1.60616064071655,1.76314422062465,2.81409887969494,GHA,Ghana,Ajumako-Enyan-Esiam,District
5299,23123.2365722657,21752.1642456055,20270.8837890625,17844.4843139648,15642.650756836,12734.908782959,10438.8681945801,9766.34741210938,9155.08502197266,7599.62780761719,5931.54527282715,4264.45997619629,3113.71547698975,6783.78762817383,123546.364433289,0.803635761141777,0.800775718688965,0.750711393356323,1.47206768393517,2.14138309359551,2.31608481705189,GHA,Ghana,Gomoa West,District
5323,42788.2603149415,40248.690612793,37514.1211547852,33024.2077941895,28911.0902709961,23545.1112670899,19296.675201416,18049.4918212891,16920.2960662842,14040.4166412354,10951.0657501221,7869.70516204833,5740.6005859375,12498.1295623779,228360.911277771,0.804515510797501,0.808103760083517,0.786850839853287,1.75886757175128,1.5286236256361,1.99534322321415,GHA,Ghana,Gomoa East,District
1846,34010.232421875,34044.921875,31782.01953125,30578.51953125,27162.8212890625,23194.7392578125,17705.6005859375,14812.9306640625,12867.5834960938,10487.2661132813,8976.88671875,5219.61669921875,5094.19677734375,10903.5556640625,198785.736328125,0.924678772687912,0.847622215747833,0.683370232582092,0.85037088394165,1.94121357798576,5.57730793952942,NGA,Nigeria,Udu,Local Government Area
1847,49040.7058105469,49123.1679687501,45839.5780029298,44108.0651855469,39162.9407958984,33449.0805053711,25541.9766845703,21368.405456543,18565.9244995117,15123.6080322266,12948.2395324707,7518.29693603516,7349.93400573731,15699.9168701172,286675.966506958,0.553902324289084,0.529222700744867,0.645174250006676,13.1689196825027,14.2499641180038,7.2695197314024,NGA,Nigeria,Isoko South,Local Government Area
